"Date","Price","Open","High","Low","Vol.","Change %"
"29-08-2025","24,426.85","24,466.70","24,572.45","24,404.70","325.52M","-0.30%"
"28-08-2025","24,500.90","24,695.80","24,702.65","24,481.60","326.60M","-0.85%"
"26-08-2025","24,712.05","24,899.50","24,919.65","24,689.60","750.47M","-1.02%"
"25-08-2025","24,967.75","24,949.15","25,021.55","24,894.35","213.03M","0.39%"
"22-08-2025","24,870.10","25,064.15","25,084.85","24,859.15","210.17M","-0.85%"
"21-08-2025","25,083.75","25,142.00","25,153.65","25,054.90","226.54M","0.13%"
"20-08-2025","25,050.55","24,965.80","25,088.70","24,929.70","287.05M","0.28%"
"19-08-2025","24,980.65","24,891.35","25,012.65","24,873.95","252.34M","0.42%"
"18-08-2025","24,876.95","24,938.20","25,022.00","24,852.85","363.07M","1.00%"
"14-08-2025","24,631.30","24,607.25","24,673.65","24,596.90","270.16M","0.05%"
"13-08-2025","24,619.35","24,586.20","24,664.55","24,535.25","236.01M","0.54%"
"12-08-2025","24,487.40","24,563.35","24,702.60","24,465.65","237.00M","-0.40%"
"11-08-2025","24,585.05","24,371.50","24,600.85","24,347.45","241.15M","0.91%"
"08-08-2025","24,363.30","24,544.25","24,585.50","24,337.50","312.63M","-0.95%"
"07-08-2025","24,596.15","24,464.20","24,634.20","24,344.15","616.74M","0.09%"
"06-08-2025","24,574.20","24,641.35","24,671.40","24,539.20","225.09M","-0.31%"
"05-08-2025","24,649.55","24,720.25","24,733.10","24,590.30","251.85M","-0.30%"
"04-08-2025","24,722.75","24,596.05","24,736.25","24,554.00","259.33M","0.64%"
"01-08-2025","24,565.35","24,734.90","24,784.15","24,535.05","263.36M","-0.82%"
"31-07-2025","24,768.35","24,642.25","24,956.50","24,635.00","346.30M","-0.35%"
"30-07-2025","24,855.05","24,890.40","24,902.30","24,771.95","243.89M","0.14%"
"29-07-2025","24,821.10","24,609.65","24,847.15","24,598.60","284.66M","0.57%"
"28-07-2025","24,680.90","24,782.45","24,889.20","24,646.60","262.14M","-0.63%"
"25-07-2025","24,837.00","25,010.35","25,010.35","24,806.35","278.14M","-0.90%"
"24-07-2025","25,062.10","25,243.30","25,246.25","25,018.70","338.73M","-0.63%"
"23-07-2025","25,219.90","25,139.35","25,233.50","25,085.50","271.54M","0.63%"
"22-07-2025","25,060.90","25,166.65","25,182.00","25,035.55","483.73M","-0.12%"
"21-07-2025","25,090.70","24,999.00","25,111.40","24,882.30","305.22M","0.49%"
"18-07-2025","24,968.40","25,108.55","25,144.60","24,918.65","316.98M","-0.57%"
"17-07-2025","25,111.45","25,230.75","25,238.35","25,101.00","243.41M","-0.40%"
"16-07-2025","25,212.05","25,196.60","25,255.30","25,121.05","228.82M","0.06%"
"15-07-2025","25,195.80","25,089.50","25,245.20","25,088.45","241.34M","0.45%"
"14-07-2025","25,082.30","25,149.50","25,151.10","25,001.95","259.53M","-0.27%"
"11-07-2025","25,149.85","25,255.50","25,322.45","25,129.00","249.99M","-0.81%"
"10-07-2025","25,355.25","25,511.65","25,524.05","25,340.45","219.61M","-0.47%"
"09-07-2025","25,476.10","25,514.60","25,548.70","25,424.35","239.08M","-0.18%"
"08-07-2025","25,522.50","25,427.85","25,548.05","25,424.15","210.41M","0.24%"
"07-07-2025","25,461.30","25,450.45","25,489.80","25,407.25","196.05M","0.00%"
"04-07-2025","25,461.00","25,428.85","25,470.25","25,331.65","193.51M","0.22%"
"03-07-2025","25,405.30","25,505.10","25,587.50","25,384.35","293.43M","-0.19%"
"02-07-2025","25,453.40","25,588.30","25,608.10","25,378.75","309.83M","-0.35%"
"01-07-2025","25,541.80","25,551.35","25,593.40","25,501.80","260.67M","0.10%"
"30-06-2025","25,517.05","25,661.65","25,669.35","25,473.30","270.98M","-0.47%"
"27-06-2025","25,637.80","25,576.65","25,654.20","25,523.55","563.96M","0.35%"
"26-06-2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"25-06-2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"24-06-2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"23-06-2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"20-06-2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"19-06-2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"18-06-2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"17-06-2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"16-06-2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"13-06-2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"12-06-2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"11-06-2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"10-06-2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"09-06-2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06-06-2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"05-06-2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
"04-06-2025","24,620.20","24,560.45","24,644.25","24,530.45","280.86M","0.32%"
"03-06-2025","24,542.50","24,786.30","24,845.10","24,502.15","349.29M","-0.70%"
"02-06-2025","24,716.60","24,669.70","24,754.40","24,526.15","311.10M","-0.14%"
"30-05-2025","24,750.70","24,812.60","24,863.95","24,717.40","853.89M","-0.33%"
"29-05-2025","24,833.60","24,825.10","24,892.60","24,677.30","345.37M","0.33%"
"28-05-2025","24,752.45","24,832.50","24,864.25","24,737.05","684.43M","-0.30%"
"27-05-2025","24,826.20","24,956.65","25,062.90","24,704.10","525.65M","-0.70%"
"26-05-2025","25,001.15","24,919.35","25,079.20","24,900.50","302.80M","0.60%"
"23-05-2025","24,853.15","24,639.50","24,909.05","24,614.05","270.47M","0.99%"
"22-05-2025","24,609.70","24,733.95","24,737.50","24,462.40","403.28M","-0.82%"
"21-05-2025","24,813.45","24,744.25","24,946.20","24,685.35","332.72M","0.52%"
"20-05-2025","24,683.90","24,996.20","25,010.35","24,669.70","414.80M","-1.05%"
"19-05-2025","24,945.45","25,005.35","25,062.95","24,916.65","255.25M","-0.30%"
"16-05-2025","25,019.80","25,064.65","25,070.00","24,953.05","432.72M","-0.17%"
"15-05-2025","25,062.10","24,694.45","25,116.25","24,494.45","500.82M","1.60%"
"14-05-2025","24,666.90","24,613.80","24,767.55","24,535.55","345.49M","0.36%"
"13-05-2025","24,578.35","24,864.05","24,973.80","24,547.50","422.98M","-1.39%"
"12-05-2025","24,924.70","24,420.10","24,944.80","24,378.85","368.71M","3.82%"
"09-05-2025","24,008.00","23,935.75","24,164.25","23,935.75","335.55M","-1.10%"
"08-05-2025","24,273.80","24,431.50","24,447.25","24,150.20","411.36M","-0.58%"
"07-05-2025","24,414.40","24,233.30","24,449.60","24,220.00","330.14M","0.14%"
"06-05-2025","24,379.60","24,500.75","24,509.65","24,331.80","302.35M","-0.33%"
"05-05-2025","24,461.15","24,419.50","24,526.40","24,400.65","291.47M","0.47%"
"02-05-2025","24,346.70","24,311.90","24,589.15","24,238.50","421.11M","0.05%"
"30-04-2025","24,334.20","24,342.05","24,396.15","24,198.75","424.45M","-0.01%"
"29-04-2025","24,335.95","24,370.70","24,457.65","24,290.75","357.56M","0.03%"
"28-04-2025","24,328.50","24,070.25","24,355.10","24,054.05","320.47M","1.20%"
"25-04-2025","24,039.35","24,289.00","24,365.45","23,847.85","387.74M","-0.86%"
"24-04-2025","24,246.70","24,277.90","24,347.85","24,216.15","358.77M","-0.34%"
"23-04-2025","24,328.95","24,357.60","24,359.30","24,119.95","415.04M","0.67%"
"22-04-2025","24,167.25","24,185.40","24,242.60","24,072.00","440.94M","0.17%"
"21-04-2025","24,125.55","23,949.15","24,189.55","23,903.65","406.15M","1.15%"
"17-04-2025","23,851.65","23,401.85","23,872.35","23,298.55","505.33M","1.77%"
"16-04-2025","23,437.20","23,344.10","23,452.20","23,273.05","348.42M","0.47%"
"15-04-2025","23,328.55","23,368.35","23,368.35","23,207.00","388.32M","2.19%"
"11-04-2025","22,828.55","22,695.40","22,923.90","22,695.40","402.16M","1.92%"
"09-04-2025","22,399.15","22,460.30","22,468.70","22,353.25","383.82M","-0.61%"
"08-04-2025","22,535.85","22,446.75","22,697.20","22,270.85","468.25M","1.69%"
"07-04-2025","22,161.60","21,758.40","22,254.00","21,743.65","647.11M","-3.24%"
"04-04-2025","22,904.45","23,190.40","23,214.70","22,857.45","466.78M","-1.49%"
"03-04-2025","23,250.10","23,150.30","23,306.50","23,145.80","283.20M","-0.35%"
"02-04-2025","23,332.35","23,192.60","23,350.00","23,158.45","340.97M","0.72%"
"01-04-2025","23,165.70","23,341.10","23,565.15","23,136.40","314.31M","-1.50%"
"28-03-2025","23,519.35","23,600.40","23,649.20","23,450.20","295.36M","-0.31%"
"27-03-2025","23,591.95","23,433.95","23,646.45","23,412.20","510.30M","0.45%"
"26-03-2025","23,486.85","23,700.95","23,736.50","23,451.70","278.59M","-0.77%"
"25-03-2025","23,668.65","23,751.50","23,869.60","23,601.40","338.22M","0.04%"
"24-03-2025","23,658.35","23,515.40","23,708.75","23,433.50","311.90M","1.32%"
"21-03-2025","23,350.40","23,168.25","23,402.70","23,132.80","540.97M","0.69%"
"20-03-2025","23,190.65","23,036.60","23,216.70","22,973.95","313.73M","1.24%"
"19-03-2025","22,907.60","22,874.95","22,940.70","22,807.95","323.99M","0.32%"
"18-03-2025","22,834.30","22,662.25","22,857.80","22,599.20","272.58M","1.45%"
"17-03-2025","22,508.75","22,353.15","22,577.00","22,353.15","251.10M","0.50%"
"13-03-2025","22,397.20","22,541.50","22,558.05","22,377.35","287.54M","-0.33%"
"12-03-2025","22,470.50","22,536.35","22,577.40","22,329.55","369.74M","-0.12%"
"11-03-2025","22,497.90","22,345.95","22,522.10","22,314.70","347.92M","0.17%"
"10-03-2025","22,460.30","22,521.85","22,676.75","22,429.05","293.86M","-0.41%"
"07-03-2025","22,552.50","22,508.65","22,633.80","22,464.75","289.77M","0.03%"
"06-03-2025","22,544.70","22,476.35","22,556.45","22,245.85","372.08M","0.93%"
"05-03-2025","22,337.30","22,073.05","22,394.90","22,067.80","305.94M","1.15%"
"04-03-2025","22,082.65","21,974.45","22,105.05","21,964.60","253.26M","-0.17%"
"03-03-2025","22,119.30","22,194.55","22,261.55","22,004.70","282.40M","-0.02%"
"28-02-2025","22,124.70","22,433.40","22,450.35","22,104.85","551.29M","-1.86%"
"27-02-2025","22,545.05","22,568.95","22,613.30","22,508.40","289.23M","-0.01%"
"25-02-2025","22,547.55","22,516.45","22,625.30","22,513.90","250.28M","-0.03%"
"24-02-2025","22,553.35","22,609.35","22,668.05","22,518.80","214.32M","-1.06%"
"21-02-2025","22,795.90","22,857.20","22,921.00","22,720.30","242.75M","-0.51%"
"20-02-2025","22,913.15","22,821.10","22,923.85","22,812.75","240.84M","-0.09%"
"19-02-2025","22,932.90","22,847.25","23,049.95","22,814.85","207.00M","-0.05%"
"18-02-2025","22,945.30","22,963.65","22,992.50","22,801.50","210.62M","-0.06%"
"17-02-2025","22,959.50","22,809.90","22,974.20","22,725.45","207.39M","0.13%"
"14-02-2025","22,929.25","23,096.45","23,133.70","22,774.85","254.48M","-0.44%"
"13-02-2025","23,031.40","23,055.75","23,235.50","22,992.20","265.71M","-0.06%"
"12-02-2025","23,045.25","23,050.80","23,144.70","22,798.35","279.66M","-0.12%"
"11-02-2025","23,071.80","23,383.55","23,390.05","22,986.65","267.97M","-1.32%"
"10-02-2025","23,381.60","23,543.80","23,568.60","23,316.30","234.20M","-0.76%"
"07-02-2025","23,559.95","23,649.50","23,694.50","23,443.20","368.09M","-0.18%"
"06-02-2025","23,603.35","23,761.95","23,773.55","23,556.25","306.98M","-0.39%"
"05-02-2025","23,696.30","23,801.75","23,807.30","23,680.45","267.01M","-0.18%"
"04-02-2025","23,739.25","23,509.90","23,762.75","23,423.15","376.74M","1.62%"
"03-02-2025","23,361.05","23,319.35","23,381.60","23,222.00","329.67M","-0.52%"
"01-02-2025","23,482.15","23,528.60","23,632.45","23,318.30","281.01M","-0.11%"
"31-01-2025","23,508.40","23,296.75","23,546.80","23,277.40","304.86M","1.11%"
"30-01-2025","23,249.50","23,169.50","23,322.05","23,139.20","361.93M","0.37%"
"29-01-2025","23,163.10","23,026.75","23,183.35","22,976.50","226.31M","0.90%"
"28-01-2025","22,957.25","22,960.45","23,137.95","22,857.65","361.87M","0.56%"
"27-01-2025","22,829.15","22,940.15","23,007.45","22,786.90","257.37M","-1.14%"
"24-01-2025","23,092.20","23,183.90","23,347.30","23,050.00","264.34M","-0.49%"
"23-01-2025","23,205.35","23,128.30","23,270.80","23,090.65","275.56M","0.22%"
"22-01-2025","23,155.35","23,099.15","23,169.55","22,981.30","275.95M","0.57%"
"21-01-2025","23,024.65","23,421.65","23,426.30","22,976.85","312.87M","-1.37%"
"20-01-2025","23,344.75","23,290.40","23,391.10","23,170.65","301.46M","0.61%"
"17-01-2025","23,203.20","23,277.10","23,292.10","23,100.35","272.95M","-0.47%"
"16-01-2025","23,311.80","23,377.25","23,391.65","23,272.05","299.42M","0.42%"
"15-01-2025","23,213.20","23,250.45","23,293.65","23,146.45","228.04M","0.16%"
"14-01-2025","23,176.05","23,165.90","23,264.95","23,134.15","311.24M","0.39%"
"13-01-2025","23,085.95","23,195.40","23,340.95","23,047.25","316.48M","-1.47%"
"10-01-2025","23,431.50","23,551.90","23,596.60","23,344.35","261.02M","-0.40%"
"09-01-2025","23,526.50","23,674.75","23,689.50","23,503.05","269.24M","-0.69%"
"08-01-2025","23,688.95","23,746.65","23,751.85","23,496.15","266.38M","-0.08%"
"07-01-2025","23,707.90","23,679.90","23,795.20","23,637.80","262.34M","0.39%"
"06-01-2025","23,616.05","24,045.80","24,089.95","23,551.90","278.06M","-1.62%"
"03-01-2025","24,004.75","24,196.40","24,196.45","23,976.00","312.28M","-0.76%"
"02-01-2025","24,188.65","23,783.00","24,226.70","23,751.55","283.20M","1.88%"
"01-01-2025","23,742.90","23,637.65","23,822.80","23,562.80","154.92M","0.41%"
"31-12-2024","23,644.80","23,560.60","23,689.85","23,460.45","193.63M","0.00%"
"30-12-2024","23,644.90","23,796.90","23,915.35","23,599.30","364.93M","-0.71%"
"27-12-2024","23,813.40","23,801.40","23,938.85","23,800.60","176.82M","0.27%"
"26-12-2024","23,750.20","23,775.80","23,854.50","23,653.60","177.68M","0.10%"
"24-12-2024","23,727.65","23,769.10","23,867.65","23,685.15","177.66M","-0.11%"
"23-12-2024","23,753.45","23,738.20","23,869.55","23,647.20","189.76M","0.70%"
"20-12-2024","23,587.50","23,960.70","24,065.80","23,537.35","442.71M","-1.52%"
"19-12-2024","23,951.70","23,877.15","24,004.90","23,870.30","271.13M","-1.02%"
"18-12-2024","24,198.85","24,297.95","24,394.45","24,149.85","235.35M","-0.56%"
"17-12-2024","24,336.00","24,584.80","24,624.10","24,303.45","264.88M","-1.35%"
"16-12-2024","24,668.25","24,753.40","24,781.25","24,601.75","187.55M","-0.40%"
"13-12-2024","24,768.30","24,498.35","24,792.30","24,180.80","310.08M","0.89%"
"12-12-2024","24,548.70","24,604.45","24,675.25","24,527.95","266.05M","-0.38%"
"11-12-2024","24,641.80","24,620.50","24,691.75","24,583.85","187.25M","0.13%"
"10-12-2024","24,610.05","24,652.65","24,677.80","24,510.65","261.05M","-0.04%"
"09-12-2024","24,619.00","24,633.90","24,705.00","24,580.05","248.14M","-0.24%"
"06-12-2024","24,677.80","24,729.45","24,751.05","24,620.50","226.73M","-0.12%"
"05-12-2024","24,708.40","24,539.15","24,857.75","24,295.55","361.47M","0.98%"
"04-12-2024","24,467.45","24,488.75","24,573.20","24,366.30","348.00M","0.04%"
"03-12-2024","24,457.15","24,367.50","24,481.35","24,280.00","339.47M","0.75%"
"02-12-2024","24,276.05","24,140.85","24,301.70","24,008.65","220.38M","0.60%"
"29-11-2024","24,131.10","23,927.15","24,188.45","23,927.15","282.10M","0.91%"
"28-11-2024","23,914.15","24,274.15","24,345.75","23,873.35","366.75M","-1.49%"
"27-11-2024","24,274.90","24,204.80","24,354.55","24,145.65","295.01M","0.33%"
"26-11-2024","24,194.50","24,343.30","24,343.30","24,125.40","230.69M","-0.11%"
"25-11-2024","24,221.90","24,253.55","24,351.55","24,135.45","687.17M","1.32%"
"22-11-2024","23,907.25","23,411.80","23,956.10","23,359.00","367.56M","2.39%"
"21-11-2024","23,349.90","23,488.45","23,507.30","23,263.15","420.33M","-0.72%"
"19-11-2024","23,518.50","23,529.55","23,780.65","23,464.80","297.48M","0.28%"
"18-11-2024","23,453.80","23,605.30","23,606.80","23,350.40","263.31M","-0.34%"
"14-11-2024","23,532.70","23,542.15","23,675.90","23,484.15","257.71M","-0.11%"
"13-11-2024","23,559.05","23,822.45","23,873.60","23,509.60","304.57M","-1.36%"
"12-11-2024","23,883.45","24,225.80","24,242.00","23,839.15","255.83M","-1.07%"
"11-11-2024","24,141.30","24,087.25","24,336.80","24,004.60","273.37M","-0.03%"
"08-11-2024","24,148.20","24,207.70","24,276.15","24,066.65","298.73M","-0.21%"
"07-11-2024","24,199.35","24,489.60","24,503.35","24,179.05","322.19M","-1.16%"
"06-11-2024","24,484.05","24,308.75","24,537.60","24,204.05","351.08M","1.12%"
"05-11-2024","24,213.30","23,916.50","24,229.05","23,842.75","289.51M","0.91%"
"04-11-2024","23,995.35","24,315.75","24,316.75","23,816.15","285.53M","-1.27%"
"01-11-2024","24,304.35","24,302.75","24,368.25","24,280.20","38.81M","0.41%"
"31-10-2024","24,205.35","24,349.85","24,372.45","24,172.60","287.01M","-0.56%"
"30-10-2024","24,340.85","24,371.45","24,498.20","24,307.30","285.20M","-0.51%"
"29-10-2024","24,466.85","24,328.85","24,484.50","24,140.85","332.04M","0.52%"
"28-10-2024","24,339.15","24,251.10","24,492.60","24,134.90","278.56M","0.65%"
"25-10-2024","24,180.80","24,418.05","24,440.25","24,073.90","372.64M","-0.90%"
"24-10-2024","24,399.40","24,412.70","24,480.65","24,341.20","216.69M","-0.15%"
"23-10-2024","24,435.50","24,378.15","24,604.25","24,378.10","284.56M","-0.15%"
"22-10-2024","24,472.10","24,798.65","24,882.00","24,445.80","279.48M","-1.25%"
"21-10-2024","24,781.10","24,956.15","24,978.30","24,679.60","241.98M","-0.29%"
"18-10-2024","24,854.05","24,664.95","24,886.20","24,567.65","290.86M","0.42%"
"17-10-2024","24,749.85","25,027.40","25,029.50","24,728.90","252.76M","-0.89%"
"16-10-2024","24,971.30","25,008.55","25,093.40","24,908.45","226.77M","-0.34%"
"15-10-2024","25,057.35","25,186.30","25,212.05","25,008.15","257.23M","-0.28%"
"14-10-2024","25,127.95","25,023.45","25,159.75","25,017.50","206.42M","0.66%"
"11-10-2024","24,964.25","24,985.30","25,028.65","24,920.05","210.46M","-0.14%"
"10-10-2024","24,998.45","25,067.05","25,134.05","24,979.40","261.36M","0.07%"
"09-10-2024","24,981.95","25,065.80","25,234.05","24,947.70","290.56M","-0.12%"
"08-10-2024","25,013.15","24,832.20","25,044.00","24,756.80","333.22M","0.88%"
"07-10-2024","24,795.75","25,084.10","25,143.00","24,694.35","374.35M","-0.87%"
"04-10-2024","25,014.60","25,181.90","25,485.05","24,966.80","374.91M","-0.93%"
"03-10-2024","25,250.10","25,452.85","25,639.45","25,230.30","423.40M","-2.12%"
"01-10-2024","25,796.90","25,788.45","25,907.60","25,739.20","247.42M","-0.05%"
"30-09-2024","25,810.85","26,061.30","26,134.70","25,794.10","343.06M","-1.41%"
"27-09-2024","26,178.95","26,248.25","26,277.35","26,151.40","490.33M","-0.14%"
"26-09-2024","26,216.05","26,005.40","26,250.90","25,998.40","370.90M","0.81%"
"25-09-2024","26,004.15","25,899.45","26,032.80","25,871.35","278.54M","0.25%"
"24-09-2024","25,940.40","25,921.45","26,011.55","25,886.85","384.12M","0.01%"
"23-09-2024","25,939.05","25,872.55","25,956.00","25,847.35","209.19M","0.57%"
"20-09-2024","25,790.95","25,525.95","25,849.25","25,426.60","533.07M","1.48%"
"19-09-2024","25,415.80","25,487.05","25,611.95","25,376.05","314.46M","0.15%"
"18-09-2024","25,377.55","25,402.40","25,482.20","25,285.55","215.73M","-0.16%"
"17-09-2024","25,418.55","25,416.90","25,441.65","25,352.25","215.96M","0.14%"
"16-09-2024","25,383.75","25,406.65","25,445.70","25,336.20","168.69M","0.11%"
"13-09-2024","25,356.50","25,430.45","25,430.50","25,292.45","250.78M","-0.13%"
"12-09-2024","25,388.90","25,059.65","25,433.35","24,941.45","380.07M","1.89%"
"11-09-2024","24,918.45","25,034.00","25,113.70","24,885.15","279.23M","-0.49%"
"10-09-2024","25,041.10","24,999.40","25,130.50","24,896.80","251.27M","0.42%"
"09-09-2024","24,936.40","24,823.40","24,957.50","24,753.15","254.37M","0.34%"
"06-09-2024","24,852.15","25,093.70","25,168.75","24,801.30","311.67M","-1.17%"
"05-09-2024","25,145.10","25,250.50","25,275.45","25,127.75","222.24M","-0.21%"
"04-09-2024","25,198.70","25,089.95","25,216.00","25,083.80","253.79M","-0.32%"
"03-09-2024","25,279.85","25,313.40","25,321.70","25,235.80","212.13M","0.00%"
"02-09-2024","25,278.70","25,333.60","25,333.65","25,235.50","222.82M","0.17%"
"30-08-2024","25,235.90","25,249.70","25,268.35","25,199.40","638.17M","0.33%"
"29-08-2024","25,151.95","25,035.30","25,192.90","24,998.50","353.99M","0.40%"
"28-08-2024","25,052.35","25,030.80","25,129.60","24,964.65","220.42M","0.14%"
"27-08-2024","25,017.75","25,024.80","25,073.10","24,973.65","223.35M","0.03%"
"26-08-2024","25,010.60","24,906.10","25,043.80","24,874.70","210.27M","0.76%"
"23-08-2024","24,823.15","24,845.40","24,858.40","24,771.65","206.80M","0.05%"
"22-08-2024","24,811.50","24,863.40","24,867.35","24,784.45","220.35M","0.17%"
"21-08-2024","24,770.20","24,680.55","24,787.95","24,654.50","257.11M","0.29%"
"20-08-2024","24,698.85","24,648.90","24,734.30","24,607.20","238.32M","0.51%"
"19-08-2024","24,572.65","24,636.35","24,638.80","24,522.95","243.65M","0.13%"
"16-08-2024","24,541.15","24,334.85","24,563.90","24,204.50","271.61M","1.65%"
"14-08-2024","24,143.75","24,184.40","24,196.50","24,099.70","303.25M","0.02%"
"13-08-2024","24,139.00","24,342.35","24,359.95","24,116.50","239.73M","-0.85%"
"12-08-2024","24,347.00","24,320.05","24,472.80","24,212.10","279.93M","-0.08%"
"09-08-2024","24,367.50","24,386.85","24,419.75","24,311.20","215.13M","1.04%"
"08-08-2024","24,117.00","24,248.55","24,340.50","24,079.70","311.88M","-0.74%"
"07-08-2024","24,297.50","24,289.40","24,337.70","24,184.90","317.56M","1.27%"
